Sl.No	Product Name	Annual Power Usage	Room Size	Warranty	MRP	Offer Price	Percentage of Offer	Product Link
1	Blue Star 2024 Model 1.5 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White	 1026.46 kWh	 111 - 150 sqft	5 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Inverter Compressor	64,250	41,800	34% off	https://www.flipkart.com/blue-star-2024-model-1-5-ton-3-split-inverter-ac-wi-fi-connect-white/p/itm200618c2713c0?pid=ACNGZ3J6SMHRBKNS&amp;lid=LSTACNGZ3J6SMHRBKNSAS00LY&amp;marketplace=FLIPKART&amp;q=AC&amp;store=j9e%2Fabm%2Fc54&amp;spotlightTagId=TrendingId_j9e%2Fabm%2Fc54&amp;srno=s_1_1&amp;otracker=search&amp;otracker1=search&amp;fm=organic&amp;iid=1353ac8c-0f94-43ff-b622-ba9d691df938.ACNGZ3J6SMHRBKNS.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=86268zjofk0000001738594472437&amp;qH=4144e097d2fa7a49
2	Panasonic 7 in 1 Convertible with True AI Mode 1.5 Ton 3 Star Split Inverter AC with Wi-fi Connect  - ...	 1002.31 W	 111 - 150 sqft	1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor	55,400	40,291	27% off	https://www.flipkart.com/panasonic-7-1-convertible-true-ai-mode-1-5-ton-3-star-split-inverter-ac-wi-fi-connect-white/p/itm8db3b61a7a0b2?pid=ACNGXYZYWHQVSGZT&amp;lid=LSTACNGXYZYWHQVSGZTZ9V4M3&amp;marketplace=FLIPKART&amp;q=AC&amp;store=j9e%2Fabm%2Fc54&amp;srno=s_1_2&amp;otracker=search&amp;otracker1=search&amp;fm=organic&amp;iid=1353ac8c-0f94-43ff-b622-ba9d691df938.ACNGXYZYWHQVSGZT.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=86268zjofk0000001738594472437&amp;qH=4144e097d2fa7a49
3	Panasonic 7 in 1 Convertible with True AI Mode 1.5 Ton 3 Star Hot and Cold Split Inverter AC with Wi-f...	 972.89 W	 111 - 150 sqft	1 Year Warranty on Product, 5 Years Warranty on PCB, 5 Years Warranty on ODU Casing and 10 Years Warranty on Compressor	62,900	41,990	33% off	https://www.flipkart.com/panasonic-7-1-convertible-true-ai-mode-1-5-ton-3-star-hot-cold-split-inverter-ac-wi-fi-connect-white/p/itm971befd491d5b?pid=ACNGX686GZ4EGF2S&amp;lid=LSTACNGX686GZ4EGF2SWFQIHC&amp;marketplace=FLIPKART&amp;q=AC&amp;store=j9e%2Fabm%2Fc54&amp;srno=s_1_3&amp;otracker=search&amp;otracker1=search&amp;fm=organic&amp;iid=1353ac8c-0f94-43ff-b622-ba9d691df938.ACNGX686GZ4EGF2S.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=86268zjofk0000001738594472437&amp;qH=4144e097d2fa7a49
4	SAMSUNG 2025 Model Windfree Technology,Bespoke AI, 5 Step Convertible 1.5 Ton 3 Star Split Inverter wi...	 1047.62 W	 111 - 150 sqft	5 year comprehensive warranty on product, 10 years on compressor	63,490	41,490	34% off	https://www.flipkart.com/samsung-2025-model-windfree-technology-bespoke-ai-5-step-convertible-1-5-ton-3-star-split-inverter-powerful-cooling-energy-saving-120-expandable-ac-wi-fi-connect-white/p/itm07cce3411a80e?pid=ACNH7SAPYKWRQPK9&amp;lid=LSTACNH7SAPYKWRQPK9MPTMGH&amp;marketplace=FLIPKART&amp;q=AC&amp;store=j9e%2Fabm%2Fc54&amp;spotlightTagId=TrendingId_j9e%2Fabm%2Fc54&amp;srno=s_1_4&amp;otracker=search&amp;otracker1=search&amp;fm=organic&amp;iid=1353ac8c-0f94-43ff-b622-ba9d691df938.ACNH7SAPYKWRQPK9.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=86268zjofk0000001738594472437&amp;qH=4144e097d2fa7a49
5	IFB 1.5 Ton 3 Star Hot and Cold Split Inverter AC with Wi-fi Connect  - White	 1002.83 W	 111 - 150 sqft	1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor	72,990	41,490	43% off	https://www.flipkart.com/ifb-1-5-ton-3-star-hot-cold-split-inverter-ac-wi-fi-connect-white/p/itm58a029ccbe7ee?pid=ACNH3NRZFWUVVZD3&amp;lid=LSTACNH3NRZFWUVVZD3EYA8IJ&amp;marketplace=FLIPKART&amp;q=AC&amp;store=j9e%2Fabm%2Fc54&amp;srno=s_1_5&amp;otracker=search&amp;otracker1=search&amp;fm=organic&amp;iid=1353ac8c-0f94-43ff-b622-ba9d691df938.ACNH3NRZFWUVVZD3.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=86268zjofk0000001738594472437&amp;qH=4144e097d2fa7a49
6	SAMSUNG Convertible 5-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Inverter WindFree Technology AC wit...	 977.8 kWh	 111 - 150 sqft	1 Year Standard Warranty on Product and 10 Years Warranty on Compressor	67,990	65,990	2% off	https://www.flipkart.com/samsung-convertible-5-in-1-cooling-2024-model-1-5-ton-3-star-split-inverter-windfree-technology-ac-wi-fi-connect-white/p/itmd79d2752518b7?pid=ACNGHRDQKU2TUXFH&amp;lid=LSTACNGHRDQKU2TUXFHQIEXPX&amp;marketplace=FLIPKART&amp;q=AC&amp;store=j9e%2Fabm%2Fc54&amp;srno=s_1_6&amp;otracker=search&amp;otracker1=search&amp;fm=organic&amp;iid=1353ac8c-0f94-43ff-b622-ba9d691df938.ACNGHRDQKU2TUXFH.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=86268zjofk0000001738594472437&amp;qH=4144e097d2fa7a49
7	O-General 1.5 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White	 1052.79 W	 111 - 150 sqft	1 Year Warranty on Product and 10 Years Warranty on Compressor	64,386	64,350		https://www.flipkart.com/o-general-1-5-ton-3-star-split-inverter-ac-wi-fi-connect-white/p/itmbb505e8db6bf0?pid=ACNGZH2TAQGGAZ3F&amp;lid=LSTACNGZH2TAQGGAZ3FG8NWU6&amp;marketplace=FLIPKART&amp;q=AC&amp;store=j9e%2Fabm%2Fc54&amp;srno=s_1_7&amp;otracker=search&amp;otracker1=search&amp;fm=organic&amp;iid=1353ac8c-0f94-43ff-b622-ba9d691df938.ACNGZH2TAQGGAZ3F.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=86268zjofk0000001738594472437&amp;qH=4144e097d2fa7a49
8	SAMSUNG Convertible 5-in-1 Cooling 2023 Model 1.5 Ton 3 Star Split Inverter AC with Wi-fi Connect  - W...	 977.8 kWh	 111 - 150 sqft	1 Year Standard Warranty on Product and 10 Years Warranty on Compressor		60,990		https://www.flipkart.com/samsung-convertible-5-in-1-cooling-2023-model-1-5-ton-3-star-split-inverter-ac-wi-fi-connect-white/p/itm440b52cb86e0a?pid=ACNGSW3KUKCAFYNH&amp;lid=LSTACNGSW3KUKCAFYNHZ5ADEM&amp;marketplace=FLIPKART&amp;q=AC&amp;store=j9e%2Fabm%2Fc54&amp;srno=s_1_8&amp;otracker=search&amp;otracker1=search&amp;fm=organic&amp;iid=1353ac8c-0f94-43ff-b622-ba9d691df938.ACNGSW3KUKCAFYNH.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=86268zjofk0000001738594472437&amp;qH=4144e097d2fa7a49
9	Lloyd Stylus 6 in 1 Convertible, Changeable AC Facia 2024 Model 1.5 Ton 3 Star Split Inverter Anti-Vir...	 990.77 W	 111 - 150 sqft	1 Year Comprehensive Warranty on AC, 5 Year Warranty on Component (Including PCB) and 10 Years Warranty on Compressor	69,990	40,990	41% off	https://www.flipkart.com/lloyd-stylus-6-1-convertible-changeable-ac-facia-2024-model-1-5-ton-3-star-split-inverter-anti-viral-wi-fi-connect-white-grey/p/itmf48effda8ce73?pid=ACNGZ6TKNFTYTJAX&amp;lid=LSTACNGZ6TKNFTYTJAXB6VDC0&amp;marketplace=FLIPKART&amp;q=AC&amp;store=j9e%2Fabm%2Fc54&amp;srno=s_1_9&amp;otracker=search&amp;otracker1=search&amp;fm=organic&amp;iid=1353ac8c-0f94-43ff-b622-ba9d691df938.ACNGZ6TKNFTYTJAX.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=86268zjofk0000001738594472437&amp;qH=4144e097d2fa7a49
10	Daikin 1.5 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White	 989.31 W	 111 - 150 sqft	1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor	58,999	40,490	31% off	https://www.flipkart.com/daikin-1-5-ton-3-star-split-inverter-ac-wi-fi-connect-white/p/itma4efcf29ea3ba?pid=ACNHY74TCFSGDFE5&amp;lid=LSTACNHY74TCFSGDFE5NFE1TG&amp;marketplace=FLIPKART&amp;q=AC&amp;store=j9e%2Fabm%2Fc54&amp;srno=s_1_10&amp;otracker=search&amp;otracker1=search&amp;fm=organic&amp;iid=1353ac8c-0f94-43ff-b622-ba9d691df938.ACNHY74TCFSGDFE5.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=86268zjofk0000001738594472437&amp;qH=4144e097d2fa7a49
